2025-10-28 12:32:15 | scripts.LLMquery.api_server | INFO | 🧩 Logger initialized for LLM → /Users/kousiknandury/PycharmProjects/DL_project/logs/llm_logs/llm_20251028_123215.log
2025-10-28 12:32:15 | scripts.LLMquery.api_server | INFO | 🚀 LoanDocQA+ API initialized.
2025-10-28 12:32:15 | scripts.LLMquery.api_server | INFO | CHROMA_PATH=scripts/LLMquery/vectorstores/local_doc_index, LLM_MODEL=phi3, EMBED_MODEL=sentence-transformers/all-MiniLM-L6-v2
2025-10-28 12:32:15 | scripts.LLMquery.api_server | INFO | 📂 Loading vectorstore and embeddings...
2025-10-28 12:32:17 | scripts.LLMquery.api_server | INFO | ✅ Vectorstore ready with 10 entries.
2025-10-28 12:32:17 | scripts.LLMquery.api_server | INFO | 🧠 Loading LLM model: phi3
2025-10-28 12:32:17 | scripts.LLMquery.api_server | INFO | ✅ LLM initialized successfully.
2025-10-28 12:32:18 | scripts.LLMquery.api_server | DEBUG | 🔍 Cached retrieval called for: 'What is the interest rate mentioned?...'
2025-10-28 12:32:19 | scripts.LLMquery.api_server | DEBUG | 🪶 Logged query metadata for 'What is the interest rate mentioned?...'
2025-10-28 12:32:19 | scripts.LLMquery.api_server | DEBUG | 🔍 Cached retrieval called for: 'Explain the loan repayment period....'
2025-10-28 12:32:19 | scripts.LLMquery.api_server | DEBUG | 🪶 Logged query metadata for 'Explain the loan repayment period....'
2025-10-28 12:32:19 | scripts.LLMquery.api_server | DEBUG | 🔍 Cached retrieval called for: 'Translate this document into Hindi....'
2025-10-28 12:32:19 | scripts.LLMquery.api_server | DEBUG | 🪶 Logged query metadata for 'Translate this document into Hindi....'
2025-10-28 12:32:19 | scripts.LLMquery.api_server | DEBUG | 🔍 Cached retrieval called for: 'What is the collateral required?...'
2025-10-28 12:32:19 | scripts.LLMquery.api_server | DEBUG | 🪶 Logged query metadata for 'What is the collateral required?...'
